# miembros.csv - Datos de miembros del videoclub Cinefilia
# Formato: DNI;ApellidosNombres;FechaNac(DD/MM/AAAA);Sexo;FechaAfil(DD/MM/AAAA);FechaUltCuota(DD/MM/AAAA);Plan;EmailTutor
#
12345678;garcia pepe;01/05/1980;M;15/03/2020;01/05/2026;BASIC;
23456789;RODRIGUEZ maria elena;20/11/1995;F;10/01/2022;15/05/2026;PREMIUM;
34567890;lopez juan carlos;15/08/2010;M;01/06/2022;20/05/2026;FAMILY;tutorlopez@gmail.com
45678901;MARTINEZ ana lucia;03/02/1970;F;20/09/2019;28/04/2026;VIP;
56789012;gonzalez PEDRO ALBERTO;07/12/1985;M;05/07/2021;10/05/2026;BASIC;
67890123;FERNANDEZ claudia;22/03/1990;F;01/02/2023;22/04/2026;PREMIUM;
78901234;sanchez MIGUEL;14/06/2008;M;10/10/2023;01/05/2026;BASIC;sanchez.tutor@outlook.com
89012345;PEREYRA  CARLOS  HUGO;30/01/1975;M;15/08/2018;05/05/2026;VIP;
90123456;DIAZ laura;invalid_date;F;01/01/2023;01/06/2026;BASIC;
11223344;TORRES  PATRICIA;10/10/1982;O;20/03/2020;30/04/2026;FAMILY;
